Peça,Conforme ou não conforme,Turno
1,Conforme,1
2,Conforme,3
3,Não conforme,1
4,Conforme,3
5,Conforme,3
6,Conforme,1
7,Não conforme,2
8,Conforme,2
9,Conforme,2
10,Conforme,1
11,Conforme,3
12,Não conforme,2
13,Conforme,3
14,Conforme,2
15,Conforme,1
16,Conforme,1
17,Não conforme,1
18,Conforme,3
19,Conforme,2
20,Não conforme,3
21,Não conforme,3
22,Conforme,3
23,Conforme,1
24,Conforme,1
25,Não conforme,1
26,Não conforme,1
27,Conforme,2
28,Conforme,2
29,Não conforme,3
30,Conforme,2
31,Conforme,2
32,Não conforme,1
33,Não conforme,1
34,Conforme,2
35,Não conforme,3
